,Name,Real Height,Pixel Height
0,1,3.95,3.991000175476074
1,10,4.84,4.968999862670898
2,11,4.48,4.801000595092773
3,12,3.7,3.7199997901916504
4,13,6.63,7.049000263214111
5,14,2.67,2.9270005226135254
6,15,4.99,5.164000034332275
7,16,4.5,4.727999687194824
8,17,4.98,5.267999649047852
9,18,5.02,5.114999771118164
10,19,3.34,3.5949997901916504
11,2,6.47,6.568000316619873
12,20,4.39,4.437999725341797
13,21,3.93,4.269999980926514
14,22,4.81,4.921999454498291
15,23,4.59,4.89400053024292
16,24,5.12,5.190999984741211
17,25,4.35,4.566000461578369
18,26,2.53,2.7790002822875977
19,27,3.14,3.183000087738037
20,28,3.49,3.48799991607666
21,29,1.8,1.886000156402588
22,3,7.71,7.98799991607666
23,30,3.13,3.167999744415283
24,4,5.58,5.7079997062683105
25,5,5.15,5.174000263214111
26,6,4.46,4.539999961853027
27,7,4.52,4.458000183105469
28,8,5.23,5.23799991607666
29,9,3.23,3.25
